PT_202.txt	Other	Other
PT_201.txt	Other	Other
PT_204.txt	Other	Other
PT_206.txt	Other	Other
PT_207.txt	Other	Other
PT_208.txt	Other	Other
PT_205.txt	CC: Amplifying Climate Fears	CC: Amplifying Climate Fears: Amplifying existing fears of global warming
PT_209.txt	Other	Other
PT_203.txt	CC: Amplifying Climate Fears;CC: Criticism of institutions and authorities;CC: Criticism of climate policies	CC: Amplifying Climate Fears: Doomsday scenarios for humans;CC: Amplifying Climate Fears: Amplifying existing fears of global warming;CC: Criticism of institutions and authorities: Criticism of national governments;CC: Criticism of institutions and authorities: Criticism of political organizations and figures;CC: Criticism of climate policies: Climate policies are ineffective;CC: Criticism of climate policies: Other
PT_210.txt	CC: Amplifying Climate Fears	CC: Amplifying Climate Fears: Doomsday scenarios for humans;CC: Amplifying Climate Fears: Other
PT_211.txt	CC: Amplifying Climate Fears	CC: Amplifying Climate Fears: Doomsday scenarios for humans;CC: Amplifying Climate Fears: Amplifying existing fears of global warming
PT_217.txt	Other	Other
PT_220.txt	CC: Amplifying Climate Fears	CC: Amplifying Climate Fears: Doomsday scenarios for humans;CC: Amplifying Climate Fears: Amplifying existing fears of global warming;CC: Amplifying Climate Fears: Other
PT_213.txt	CC: Criticism of institutions and authorities;CC: Criticism of climate movement	CC: Criticism of institutions and authorities: Criticism of political organizations and figures;CC: Criticism of institutions and authorities: Other;CC: Criticism of climate movement: Climate movement is corrupt;CC: Criticism of climate movement: Other
PT_216.txt	CC: Criticism of climate policies;CC: Criticism of institutions and authorities;CC: Controversy about green technologies	CC: Criticism of climate policies: Climate policies are ineffective;CC: Criticism of climate policies: Climate policies have negative impact on the economy;CC: Criticism of climate policies: Other;CC: Criticism of institutions and authorities: Criticism of national governments;CC: Criticism of institutions and authorities: Criticism of political organizations and figures;CC: Criticism of institutions and authorities: Other;CC: Controversy about green technologies: Renewable energy is costly;CC: Controversy about green technologies: Other
