PT_URW_TEST_488.txt	Other	Other
PT_URW_TEST_466.txt	URW: Discrediting Ukraine	URW: Discrediting Ukraine: Discrediting Ukrainian nation and society;URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies
PT_URW_TEST_475.txt	URW: Amplifying war-related fears;URW: Speculating war outcomes	URW: Amplifying war-related fears: Other;URW: Speculating war outcomes: Other
PT_URW_TEST_507.txt	URW: Blaming the war on others rather than the invader	URW: Blaming the war on others rather than the invader: Ukraine is the aggressor
PT_URW_TEST_496.txt	URW: Blaming the war on others rather than the invader;URW: Discrediting the West, Diplomacy	URW: Blaming the war on others rather than the invader: The West are the aggressors;URW: Discrediting the West, Diplomacy: The West is overreacting;URW: Discrediting the West, Diplomacy: Other
PT_URW_TEST_484.txt	URW: Discrediting the West, Diplomacy;URW: Russia is the Victim	URW: Discrediting the West, Diplomacy: Other;URW: Russia is the Victim: The West is russophobic
PT_CC_TEST_532.txt	CC: Amplifying Climate Fears	CC: Amplifying Climate Fears: Amplifying existing fears of global warming;CC: Amplifying Climate Fears: Doomsday scenarios for humans
PT_URW_TEST_503.txt	URW: Discrediting Ukraine;URW: Amplifying war-related fears	URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Discrediting Ukraine: Ukraine is a puppet of the West;URW: Discrediting Ukraine: Discrediting Ukrainian military;URW: Amplifying war-related fears: Other
PT_CC_TEST_528.txt	CC: Questioning the measurements and science	CC: Questioning the measurements and science: Other
PT_CC_TEST_517.txt	CC: Questioning the measurements and science;CC: Criticism of climate movement;CC: Criticism of institutions and authorities;CC: Downplaying climate change	CC: Questioning the measurements and science: Methodologies/metrics used are unreliable/faulty;CC: Questioning the measurements and science: Other;CC: Criticism of climate movement: Climate movement is alarmist;CC: Criticism of climate movement: Ad hominem attacks on key activists;CC: Criticism of climate movement: Other;CC: Criticism of institutions and authorities: Criticism of international entities;CC: Criticism of institutions and authorities: Criticism of political organizations and figures;CC: Downplaying climate change: Other
PT_URW_TEST_479.txt	URW: Amplifying war-related fears;URW: Speculating war outcomes	URW: Amplifying war-related fears: There is a real possibility that nuclear weapons will be employed
